Baseline,Optimized
0.004545361,0.00778668
0.006286764,0.006383625
0.006286825,0.006652109
0.0061265,0.007133648
0.006155458,0.005834654
0.005639794,0.005359173
0.004246219,0.004479459
0.004306198,0.004693695
0.004122598,0.004562942
0.003796521,0.005865191
0.003580514,0.006504927
0.004617822,0.007259282
0.004472094,0.006734338
0.005006035,0.006458789
0.005446459,0.006852924
0.006706461,0.006331928
0.005667136,0.006648835
0.005577358,0.006627733
0.005807307,0.006359835
0.005917357,0.006210578
